=== INVENTÁRIO DE SOFTWARE - DEBIAN 13 ===
Gerado em: qua 01 jul 2026 00:20:02 -03
=========================================

[1. APT / SYSTEM PACKAGES]
Origem: APT | Pacote: g++ | Versão: 4:14.2.0-1
Origem: APT | Pacote: g++-14 | Versão: 14.2.0-19
Origem: APT | Pacote: g++-14-x86-64-linux-gnu | Versão: 14.2.0-19
Origem: APT | Pacote: g++-x86-64-linux-gnu | Versão: 4:14.2.0-1
Origem: APT | Pacote: gcc | Versão: 4:14.2.0-1
Origem: APT | Pacote: gcc-14 | Versão: 14.2.0-19
Origem: APT | Pacote: gcc-14-base | Versão: 14.2.0-19
Origem: APT | Pacote: gcc-14-x86-64-linux-gnu | Versão: 14.2.0-19
Origem: APT | Pacote: gcc-x86-64-linux-gnu | Versão: 4:14.2.0-1
Origem: APT | Pacote: gettext-base | Versão: 0.23.1-2
Origem: APT | Pacote: ghostscript | Versão: 10.05.1~dfsg-1+deb13u1
Origem: APT | Pacote: glib-networking | Versão: 2.80.1-1
Origem: APT | Pacote: glib-networking-common | Versão: 2.80.1-1
Origem: APT | Pacote: glib-networking-services | Versão: 2.80.1-1
Origem: APT | Pacote: gnupg | Versão: 2.4.7-21+deb13u1
Origem: APT | Pacote: gnupg-l10n | Versão: 2.4.7-21+deb13u1
Origem: APT | Pacote: gnupg-utils | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpg | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpg-agent | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpg-wks-client | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpgconf | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpgsm | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: gpgv | Versão: 2.4.7-21+deb13u1+b3
Origem: APT | Pacote: grep | Versão: 3.11-4
Origem: APT | Pacote: groff-base | Versão: 1.23.0-9
Origem: APT | Pacote: grub-common | Versão: 2.12-9+deb13u2
Origem: APT | Pacote: grub-efi-amd64 | Versão: 2.12-9+deb13u2
Origem: APT | Pacote: grub-efi-amd64-bin | Versão: 2.12-9+deb13u2
Origem: APT | Pacote: grub-efi-amd64-signed | Versão: 1+2.12+9+deb13u2
Origem: APT | Pacote: grub-efi-amd64-unsigned | Versão: 2.12-9+deb13u2
Origem: APT | Pacote: grub2-common | Versão: 2.12-9+deb13u2
Origem: APT | Pacote: gsettings-desktop-schemas | Versão: 48.0-1
Origem: APT | Pacote: gstreamer1.0-gl | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: gstreamer1.0-libav | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: gstreamer1.0-plugins-bad | Versão: 1.26.2-3+deb13u2
Origem: APT | Pacote: gstreamer1.0-plugins-base | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: gstreamer1.0-plugins-good | Versão: 1.26.2-1+deb13u2
Origem: APT | Pacote: gstreamer1.0-plugins-ugly | Versão: 1.26.3-4+deb13u1
Origem: APT | Pacote: gstreamer1.0-x | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: gtk-update-icon-cache | Versão: 4.18.6+ds-2
Origem: APT | Pacote: gzip | Versão: 1.13-1
Origem: APT | Pacote: hicolor-icon-theme | Versão: 0.18-2
Origem: APT | Pacote: hostname | Versão: 3.25
Origem: APT | Pacote: hunspell-en-us | Versão: 1:2020.12.07-4
Origem: APT | Pacote: i965-va-driver | Versão: 2.4.1+dfsg1-2
Origem: APT | Pacote: ibrazilian | Versão: 3.0~beta4-25
Origem: APT | Pacote: ifupdown | Versão: 0.8.44+deb13u1
Origem: APT | Pacote: imagemagick-7-common | Versão: 8:7.1.1.43+dfsg1-1+deb13u10
Origem: APT | Pacote: inetutils-telnet | Versão: 2:2.6-3+deb13u3
Origem: APT | Pacote: init | Versão: 1.69~deb13u1
Origem: APT | Pacote: init-system-helpers | Versão: 1.69~deb13u1
Origem: APT | Pacote: initramfs-tools | Versão: 0.148.4
Origem: APT | Pacote: initramfs-tools-bin | Versão: 0.148.4
Origem: APT | Pacote: initramfs-tools-core | Versão: 0.148.4
Origem: APT | Pacote: installation-report | Versão: 2.97
Origem: APT | Pacote: intel-media-va-driver | Versão: 25.2.3+dfsg1-1
Origem: APT | Pacote: intel-microcode | Versão: 3.20251111.1~deb13u1
Origem: APT | Pacote: iproute2 | Versão: 6.15.0-1
Origem: APT | Pacote: iputils-ping | Versão: 3:20240905-3
Origem: APT | Pacote: iso-codes | Versão: 4.18.0-1
Origem: APT | Pacote: ispell | Versão: 3.4.06-1
Origem: APT | Pacote: iucode-tool | Versão: 2.3.1-3
Origem: APT | Pacote: java-common | Versão: 0.76
Origem: APT | Pacote: javascript-common | Versão: 12+nmu1
Origem: APT | Pacote: kbd | Versão: 2.7.1-2
Origem: APT | Pacote: keyboard-configuration | Versão: 1.242~deb13u1
Origem: APT | Pacote: klibc-utils | Versão: 2.0.14-1
Origem: APT | Pacote: kmod | Versão: 34.2-2
Origem: APT | Pacote: krb5-locales | Versão: 1.21.3-5+deb13u1
Origem: APT | Pacote: laptop-detect | Versão: 0.16+nmu1
Origem: APT | Pacote: less | Versão: 668-1
Origem: APT | Pacote: liba52-0.7.4 | Versão: 0.7.4-20+b3
Origem: APT | Pacote: libaa1 | Versão: 1.4p5-51.1+b1
Origem: APT | Pacote: libaacs0 | Versão: 0.11.1-4+b1
Origem: APT | Pacote: libabsl20240722 | Versão: 20240722.0-4
Origem: APT | Pacote: libabw-0.1-1 | Versão: 0.1.3-1+b2
Origem: APT | Pacote: libacl1 | Versão: 2.3.2-2+b1
Origem: APT | Pacote: libalgorithm-diff-perl | Versão: 1.201-1
Origem: APT | Pacote: libalgorithm-diff-xs-perl | Versão: 0.04-9
Origem: APT | Pacote: libalgorithm-merge-perl | Versão: 0.08-5
Origem: APT | Pacote: libaom3 | Versão: 3.12.1-1
Origem: APT | Pacote: libapparmor1 | Versão: 4.1.0-1
Origem: APT | Pacote: libapt-pkg7.0 | Versão: 3.0.3
Origem: APT | Pacote: libarchive13t64 | Versão: 3.7.4-4+deb13u1
Origem: APT | Pacote: libargon2-1 | Versão: 0~20190702+dfsg-4+b2
Origem: APT | Pacote: libasan8 | Versão: 14.2.0-19
Origem: APT | Pacote: libasound2-data | Versão: 1.2.14-1
Origem: APT | Pacote: libasound2t64 | Versão: 1.2.14-1
Origem: APT | Pacote: libaspell15 | Versão: 0.60.8.1-4
Origem: APT | Pacote: libass9 | Versão: 1:0.17.3-1+b1
Origem: APT | Pacote: libassuan9 | Versão: 3.0.2-2
Origem: APT | Pacote: libasyncns0 | Versão: 0.8-6+b5
Origem: APT | Pacote: libatk-bridge2.0-0t64 | Versão: 2.56.2-1+deb13u1
Origem: APT | Pacote: libatk1.0-0t64 | Versão: 2.56.2-1+deb13u1
Origem: APT | Pacote: libatomic1 | Versão: 14.2.0-19
Origem: APT | Pacote: libatspi2.0-0t64 | Versão: 2.56.2-1+deb13u1
Origem: APT | Pacote: libattr1 | Versão: 1:2.5.2-3
Origem: APT | Pacote: libaudit-common | Versão: 1:4.0.2-2
Origem: APT | Pacote: libaudit1 | Versão: 1:4.0.2-2+b2
Origem: APT | Pacote: libauthen-sasl-perl | Versão: 2.1700-1
Origem: APT | Pacote: libavahi-client3 | Versão: 0.8-16
Origem: APT | Pacote: libavahi-common-data | Versão: 0.8-16
Origem: APT | Pacote: libavahi-common3 | Versão: 0.8-16
Origem: APT | Pacote: libavc1394-0 | Versão: 0.5.4-5+b2
Origem: APT | Pacote: libavcodec61 | Versão: 7:7.1.5-0+deb13u1
Origem: APT | Pacote: libavdevice61 | Versão: 7:7.1.5-0+deb13u1
Origem: APT | Pacote: libavfilter10 | Versão: 7:7.1.5-0+deb13u1
Origem: APT | Pacote: libavformat61 | Versão: 7:7.1.5-0+deb13u1
Origem: APT | Pacote: libavtp0 | Versão: 0.2.0-2
Origem: APT | Pacote: libavutil59 | Versão: 7:7.1.5-0+deb13u1
Origem: APT | Pacote: libbdplus0 | Versão: 0.2.0-4+b1
Origem: APT | Pacote: libbinutils | Versão: 2.44-3
Origem: APT | Pacote: libblas3 | Versão: 3.12.1-6
Origem: APT | Pacote: libblkid1 | Versão: 2.41-5
Origem: APT | Pacote: libbluray2 | Versão: 1:1.3.4-1+b2
Origem: APT | Pacote: libboost-iostreams1.83.0 | Versão: 1.83.0-4.2
Origem: APT | Pacote: libboost-locale1.83.0 | Versão: 1.83.0-4.2
Origem: APT | Pacote: libboost-thread1.83.0 | Versão: 1.83.0-4.2
Origem: APT | Pacote: libbpf1 | Versão: 1:1.5.0-3
Origem: APT | Pacote: libbrotli1 | Versão: 1.1.0-2+b7
Origem: APT | Pacote: libbs2b0 | Versão: 3.1.0+dfsg-8+b1
Origem: APT | Pacote: libbsd0 | Versão: 0.12.2-2
Origem: APT | Pacote: libbz2-1.0 | Versão: 1.0.8-6
Origem: APT | Pacote: libc-bin | Versão: 2.41-12+deb13u3
Origem: APT | Pacote: libc-dev-bin | Versão: 2.41-12+deb13u3
Origem: APT | Pacote: libc-l10n | Versão: 2.41-12+deb13u3
